,HK_ticker,HK_close,SH_ticker,SH_close,CNH/HKD,SH_adjclose,SH-HK
2015-01-07,2611.HK,,601211.SH,,0.8018,,
2015-01-08,2611.HK,,601211.SH,,0.8013,,
2015-01-09,2611.HK,,601211.SH,,0.8017,,
2015-01-12,2611.HK,,601211.SH,,0.8011,,
2015-01-13,2611.HK,,601211.SH,,0.7998,,
2015-01-14,2611.HK,,601211.SH,,0.7995,,
2015-01-15,2611.HK,,601211.SH,,0.7992,,
2015-01-16,2611.HK,,601211.SH,,0.7983,,
2015-01-19,2611.HK,,601211.SH,,0.8034,,
2015-01-20,2611.HK,,601211.SH,,0.8028,,
2015-01-21,2611.HK,,601211.SH,,0.8024,,
2015-01-22,2611.HK,,601211.SH,,0.8018,,
2015-01-23,2611.HK,,601211.SH,,0.8012,,
2015-01-26,2611.HK,,601211.SH,,0.8049,,
2015-01-27,2611.HK,,601211.SH,,0.807,,
2015-01-28,2611.HK,,601211.SH,,0.8055,,
2015-01-29,2611.HK,,601211.SH,,0.8066,,
2015-01-30,2611.HK,,601211.SH,,0.8071,,
2015-02-02,2611.HK,,601211.SH,,0.8089,,
2015-02-03,2611.HK,,601211.SH,,0.8088,,
2015-02-04,2611.HK,,601211.SH,,0.8086,,
2015-02-05,2611.HK,,601211.SH,,0.8061,,
2015-02-06,2611.HK,,601211.SH,,0.8064,,
2015-02-09,2611.HK,,601211.SH,,0.8053,,
2015-02-10,2611.HK,,601211.SH,,0.8059,,
2015-02-11,2611.HK,,601211.SH,,0.8058,,
2015-02-12,2611.HK,,601211.SH,,0.8057,,
2015-02-13,2611.HK,,601211.SH,,0.8055,,
2015-02-16,2611.HK,,601211.SH,,0.8052,,
2015-02-17,2611.HK,,601211.SH,,0.8082,,
2015-02-25,2611.HK,,601211.SH,,0.8092,,
2015-02-26,2611.HK,,601211.SH,,0.8086,,
2015-02-27,2611.HK,,601211.SH,,0.8081,,
2015-03-02,2611.HK,,601211.SH,,0.8109,,
2015-03-03,2611.HK,,601211.SH,,0.8106,,
2015-03-04,2611.HK,,601211.SH,,0.8103,,
2015-03-05,2611.HK,,601211.SH,,0.8101,,
2015-03-06,2611.HK,,601211.SH,,0.8094,,
2015-03-09,2611.HK,,601211.SH,,0.8087,,
2015-03-10,2611.HK,,601211.SH,,0.809,,
2015-03-11,2611.HK,,601211.SH,,0.8087,,
2015-03-12,2611.HK,,601211.SH,,0.809,,
2015-03-13,2611.HK,,601211.SH,,0.808,,
2015-03-16,2611.HK,,601211.SH,,0.809,,
2015-03-17,2611.HK,,601211.SH,,0.8082,,
2015-03-18,2611.HK,,601211.SH,,0.8051,,
2015-03-19,2611.HK,,601211.SH,,0.804,,
2015-03-20,2611.HK,,601211.SH,,0.8008,,
2015-03-23,2611.HK,,601211.SH,,0.801,,
2015-03-24,2611.HK,,601211.SH,,0.8007,,
2015-03-25,2611.HK,,601211.SH,,0.8004,,
2015-03-26,2611.HK,,601211.SH,,0.8012,,
2015-03-27,2611.HK,,601211.SH,,0.801,,
2015-03-30,2611.HK,,601211.SH,,0.8024,,
2015-03-31,2611.HK,,601211.SH,,0.801,,
2015-04-01,2611.HK,,601211.SH,,0.8002,,
2015-04-02,2611.HK,,601211.SH,,0.8005,,
2015-04-03,2611.HK,,601211.SH,,0.8005,,
2015-04-07,2611.HK,,601211.SH,,0.8005,,
2015-04-08,2611.HK,,601211.SH,,0.7996,,
2015-04-09,2611.HK,,601211.SH,,0.8008,,
2015-04-10,2611.HK,,601211.SH,,0.8018,,
2015-04-13,2611.HK,,601211.SH,,0.8025,,
2015-04-14,2611.HK,,601211.SH,,0.8034,,
2015-04-15,2611.HK,,601211.SH,,0.8021,,
2015-04-16,2611.HK,,601211.SH,,0.8007,,
2015-04-17,2611.HK,,601211.SH,,0.7994,,
2015-04-20,2611.HK,,601211.SH,,0.799,,
2015-04-21,2611.HK,,601211.SH,,0.8001,,
2015-04-22,2611.HK,,601211.SH,,0.7998,,
2015-04-23,2611.HK,,601211.SH,,0.7989,,
2015-04-24,2611.HK,,601211.SH,,0.7995,,
2015-04-27,2611.HK,,601211.SH,,0.7994,,
2015-04-28,2611.HK,,601211.SH,,0.8022,,
2015-04-29,2611.HK,,601211.SH,,0.8008,,
2015-04-30,2611.HK,,601211.SH,,0.8002,,
2015-05-04,2611.HK,,601211.SH,,0.801,,
2015-05-05,2611.HK,,601211.SH,,0.8014,,
2015-05-06,2611.HK,,601211.SH,,0.8011,,
2015-05-07,2611.HK,,601211.SH,,0.8004,,
2015-05-08,2611.HK,,601211.SH,,0.8011,,
2015-05-11,2611.HK,,601211.SH,,0.8011,,
2015-05-12,2611.HK,,601211.SH,,0.8013,,
2015-05-13,2611.HK,,601211.SH,,0.8009,,
2015-05-14,2611.HK,,601211.SH,,0.8001,,
2015-05-15,2611.HK,,601211.SH,,0.8,,
2015-05-18,2611.HK,,601211.SH,,0.8008,,
2015-05-19,2611.HK,,601211.SH,,0.8004,,
2015-05-20,2611.HK,,601211.SH,,0.8008,,
2015-05-21,2611.HK,,601211.SH,,0.8006,,
2015-05-22,2611.HK,,601211.SH,,0.7996,,
2015-05-25,2611.HK,,601211.SH,,0.7996,,
2015-05-26,2611.HK,,601211.SH,,0.7996,,
